 Total battles: 752357
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 69   | Stakataka          |  1.24475% | 18730  |  1.245% | 6244   |  0.916% | 
 | 70   | Tapu Koko          |  1.22561% | 18442  |  1.226% | 6625   |  0.972% | 
 | 71   | Clefairy           |  1.21352% | 18260  |  1.214% | 7417   |  1.089% | 
 | 72   | Hitmontop          |  1.21325% | 18256  |  1.213% | 7425   |  1.090% | 
 | 73   | Metagross          |  1.15504% | 17380  |  1.155% | 6377   |  0.936% | 
 | 74   | Dracovish          |  1.12805% | 16974  |  1.128% | 7639   |  1.121% | 
 | 75   | Gothitelle         |  1.12028% | 16857  |  1.120% | 6488   |  0.952% | 
 | 76   | Tsareena           |  1.10067% | 16562  |  1.101% | 5666   |  0.832% | 
 | 77   | Zapdos-Galar       |  1.08193% | 16280  |  1.082% | 5785   |  0.849% | 
 | 78   | Talonflame         |  1.05342% | 15851  |  1.053% | 5612   |  0.824% | 
 | 79   | Lugia              |  1.03209% | 15530  |  1.032% | 7565   |  1.110% | 
 | 80   | Arcanine           |  1.03049% | 15506  |  1.030% | 6160   |  0.904% | 
 | 81   | Barraskewda        |  0.99866% | 15027  |  0.999% | 5448   |  0.800% | 
 | 82   | Rotom-Wash         |  0.99687% | 15000  |  0.997% | 5330   |  0.782% | 
 | 83   | Tyranitar          |  0.98989% | 14895  |  0.990% | 6381   |  0.936% | 
 | 84   | Hatterene          |  0.96344% | 14497  |  0.963% | 5423   |  0.796% | 
 | 85   | Tapu Lele          |  0.94663% | 14244  |  0.947% | 4893   |  0.718% | 
 | 86   | Pheromosa          |  0.91998% | 13843  |  0.920% | 5427   |  0.796% | 
 | 87   | Mienshao           |  0.83438% | 12555  |  0.834% | 4626   |  0.679% | 
 | 88   | Snorlax            |  0.80301% | 12083  |  0.803% | 4698   |  0.689% | 
 | 89   | Landorus           |  0.79364% | 11942  |  0.794% | 4627   |  0.679% | 
 | 90   | Shedinja           |  0.77171% | 11612  |  0.772% | 4683   |  0.687% | 
 | 91   | Giratina-Origin    |  0.75795% | 11405  |  0.758% | 6451   |  0.947% | 
 | 92   | Glastrier          |  0.75549% | 11368  |  0.755% | 4497   |  0.660% | 
 | 93   | Pikachu            |  0.71768% | 10799  |  0.718% | 3812   |  0.559% | 
 | 94   | Mamoswine          |  0.66425% | 9995   |  0.664% | 4129   |  0.606% | 
 | 95   | Ludicolo           |  0.64850% | 9758   |  0.648% | 4032   |  0.592% | 
 | 96   | Oranguru           |  0.64717% | 9738   |  0.647% | 3902   |  0.573% | 
 | 97   | Liepard            |  0.63042% | 9486   |  0.630% | 4119   |  0.605% | 
 | 98   | Marowak-Alola      |  0.61706% | 9285   |  0.617% | 4089   |  0.600% | 
 | 99   | Garchomp           |  0.60217% | 9061   |  0.602% | 3928   |  0.576% | 
 | 100  | Articuno-Galar     |  0.58682% | 8830   |  0.587% | 2557   |  0.375% | 
 | 101  | Ninetales-Alola    |  0.55492% | 8350   |  0.555% | 3521   |  0.517% | 
 | 102  | Gyarados           |  0.54562% | 8210   |  0.546% | 3570   |  0.524% | 
 | 103  | Centiskorch        |  0.53173% | 8001   |  0.532% | 3096   |  0.454% | 
 | 104  | Krookodile         |  0.52023% | 7828   |  0.520% | 3204   |  0.470% | 
 | 105  | Meowstic           |  0.52023% | 7828   |  0.520% | 2588   |  0.380% | 
 | 106  | Excadrill          |  0.49970% | 7519   |  0.500% | 3269   |  0.480% | 
